Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,200","600,000.00","300,000.00",50%,In-store
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,"1,000","500,000.00","150,000.00",30%,In-store
Foot Locker,1185732,3/1/2020,Northeast,New York,New York,Women's Street Footwear,40.00,"1,000","400,000.00","140,000.00",35%,In-store
Foot Locker,1185732,4/1/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850,"382,500.00","133,875.00",35%,In-store
Foot Locker,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,60.00,900,"540,000.00","162,000.00",30%,In-store
Foot Locker,1185732,6/1/2020,Northeast,New York,New York,Women's Apparel,50.00,"1,000","500,000.00","125,000.00",25%,In-store
Foot Locker,1185732,7/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,250","625,000.00","312,500.00",50%,In-store
Foot Locker,1185732,8/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,"450,000.00","135,000.00",30%,Outlet
Foot Locker,1185732,21/1/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,"380,000.00","133,000.00",35%,Outlet
Foot Locker,1185732,22/1/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,"371,250.00","129,937.50",35%,Outlet
Foot Locker,1185732,23/1/2020,Northeast,New York,New York,Men's Apparel,60.00,900,"540,000.00","162,000.00",30%,Outlet
Foot Locker,1185732,24/1/2020,Northeast,New York,New York,Women's Apparel,50.00,"1,000","500,000.00","125,000.00",25%,Outlet
Foot Locker,1185732,25/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,220","610,000.00","305,000.00",50%,Outlet
Foot Locker,1185732,26/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925,"462,500.00","138,750.00",30%,Outlet
Foot Locker,1185732,27/1/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,"380,000.00","133,000.00",35%,Outlet
Foot Locker,1185732,28/1/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800,"360,000.00","126,000.00",35%,Outlet
Foot Locker,1185732,29/1/2020,Northeast,New York,New York,Men's Apparel,60.00,850,"510,000.00","153,000.00",30%,Outlet
Foot Locker,1185732,30/1/2020,Northeast,New York,New York,Women's Apparel,50.00,950,"475,000.00","118,750.00",25%,Outlet
Foot Locker,1185732,31/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,200","600,000.00","300,000.00",50%,Outlet
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,"450,000.00","135,000.00",30%,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.00,900,"360,000.00","126,000.00",35%,Outlet
Foot Locker,1185732,3/2/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,"371,250.00","129,937.50",35%,Outlet
Foot Locker,1185732,4/2/2020,Northeast,New York,New York,Men's Apparel,60.00,825,"495,000.00","148,500.00",30%,Outlet
Foot Locker,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,50.00,950,"475,000.00","118,750.00",25%,Outlet
Foot Locker,1185732,6/2/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,220","732,000.00","366,000.00",50%,Outlet
Foot Locker,1185732,7/2/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,925,"508,750.00","152,625.00",30%,Outlet
Foot Locker,1185732,8/2/2020,Northeast,New York,New York,Women's Street Footwear,50.00,900,"450,000.00","157,500.00",35%,Outlet
Foot Locker,1185732,9/2/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,850,"425,000.00","148,750.00",35%,Outlet
Foot Locker,1185732,10/2/2020,Northeast,New York,New York,Men's Apparel,60.00,875,"525,000.00","157,500.00",30%,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,000","650,000.00","162,500.00",25%,Outlet
Foot Locker,1185732,4/3/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,250","750,000.00","375,000.00",50%,Outlet
Foot Locker,1185732,5/3/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000","550,000.00","165,000.00",30%,Outlet
Foot Locker,1185732,6/3/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,"462,500.00","161,875.00",35%,Outlet
Foot Locker,1185732,7/3/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,"450,000.00","157,500.00",35%,Outlet
Foot Locker,1185732,8/3/2020,Northeast,New York,New York,Men's Apparel,60.00,900,"540,000.00","162,000.00",30%,Outlet
Foot Locker,1185732,9/3/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,050","682,500.00","170,625.00",25%,Outlet
Foot Locker,1185732,10/3/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,275","765,000.00","382,500.00",50%,Outlet
Foot Locker,1185732,11/3/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,025","563,750.00","169,125.00",30%,Outlet
Foot Locker,1185732,12/3/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,"475,000.00","166,250.00",35%,Outlet
Foot Locker,1185732,13/3/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,"450,000.00","157,500.00",35%,Outlet
Foot Locker,1185732,14/3/2020,Northeast,New York,New York,Men's Apparel,60.00,925,"555,000.00","166,500.00",30%,Outlet
